timestamp,x (mm),y (mm),z (mm)
1741709794.0111299,-309.4808040742953,513.6898834257404,173.94559658089548
1741709794.0220766,-306.519854460773,515.4628863982111,173.929951906469
1741709794.0330596,-303.70631831903347,517.1149697218348,173.93777424908728
1741709794.0440497,-300.9904847879261,518.7110337169992,173.929951906469
1741709794.0549808,-298.4390960684619,520.1740708149506,173.92212955304782
1741709794.0660374,-295.99637390545155,521.5771781179288,173.929951906469
1741709794.0770519,-293.5504326930967,522.9622933046779,173.93777424908728
1741709794.0880363,-291.26676794241325,524.2379789090603,173.929951906469
1741709794.099046,-289.35450315759476,525.2966350236588,173.929951906469
1741709794.1100469,-287.61847697794394,526.249175738685,173.929951906469
1741709794.1210456,-286.06889758797877,527.0876263956493,173.92212955304782
1741709794.132048,-284.73363989899525,527.8148756412094,173.929951906469
1741709794.1430461,-283.6824601505757,528.3798967075209,173.929951906469
1741709794.153988,-282.70987123704396,528.8965278178357,173.929951906469
1741709794.1650343,-281.83588263649835,529.3680906252953,173.929951906469
1741709794.1760602,-281.10031451715787,529.7683273367538,173.929951906469
1741709794.1870403,-280.46463230821666,530.0909073836466,173.92212955304782
1741709794.1980436,-279.95236517661056,530.3667453874718,173.93777424908728
1741709794.209055,-279.61264780265094,530.5401056854166,173.93777424908728
1741709794.2200272,-279.1921815529661,530.7714920544915,173.93777424908728
1741709794.2310414,-278.8135012670494,530.9563318938242,173.93777424908728
1741709794.2420454,-278.37669049388853,531.1954720915338,173.93777424908728
1741709794.2530482,-278.05514043101056,531.3642085656961,173.929951906469
1741709794.2640536,-277.7958639854421,531.4941806372102,173.929951906469
1741709794.2750254,-277.5332057347034,531.6322419333562,173.92212955304782
1741709794.2860515,-277.2822355840975,531.7679428982558,173.929951906469
1741709794.2970335,-277.0219230592012,531.9135752581008,173.929951906469
1741709794.308048,-276.7415340782421,532.0545898946833,173.929951906469
1741709794.3190458,-276.5277294794519,532.1701019221298,173.929951906469
1741709794.3300037,-276.3322697941368,532.2817794478585,173.929951906469
1741709794.3410313,-276.16079882110915,532.3559003315621,173.93777424908728
1741709794.3519793,-275.95911262876206,532.4695442861619,173.929951906469
1741709794.3630416,-275.82518805020305,532.5396716610701,173.929951906469
1741709794.37404,-275.6822125944302,532.6229742176392,173.929951906469
