timestamp,positions
1768095275.820371,"[0.10814226199497821, 0.14773384267778494, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.827323,"[0.10814226199497821, 0.14773384267778494, 0.7123455326308786, 0.5344105810543329, 0.3220943140219053, 0.2991027212712765]"
1768095275.834267,"[0.10814226199497821, 0.14776413464374916, 0.7124363802801241, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.8412387,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220943140219053, 0.2991027212712765]"
1768095275.8482678,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.8552969,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.8621666,"[0.10817255396094244, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.8692389,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.32203371125754543, 0.2991027212712765]"
1768095275.8761516,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.8834662,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.32212459657165377, 0.2991027212712765]"
1768095275.8901203,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5345014663684413, 0.3220640314721568, 0.2991330226534564]"
1768095275.8972461,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.9042015,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.9112277,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.9180667,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.9252057,"[0.10814226199497821, 0.14776413464374916, 0.7123455326308786, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.9321873,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.9390233,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.9461,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.9530964,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.32203371125754543, 0.2991027212712765]"
1768095275.9601986,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.9671993,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.9742174,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.981539,"[0.10814226199497821, 0.14773384267778494, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.987995,"[0.10817255396094244, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.32203371125754543, 0.2991027212712765]"
1768095275.9952018,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095276.002292,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095276.0092053,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095276.016467,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095276.0232651,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095276.0299811,"[0.10817255396094244, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095276.037431,"[0.10814226199497821, 0.14773384267778494, 0.7124060977303757, 0.5344105810543329, 0.3220640314721568, 0.2991027212712765]"
1768095276.044096,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095276.0510793,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.299072438721528]"
1768095276.057985,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095276.0651124,"[0.10817255396094244, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095276.0720937,"[0.10814226199497821, 0.14776413464374916, 0.7124363802801241, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095276.0792127,"[0.108111970029014, 0.14776413464374916, 0.7123152500811302, 0.5344409012689443, 0.32203371125754543, 0.2991330226534564]"
1768095276.0860047,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095276.0930524,"[0.10817255396094244, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.32203371125754543, 0.2991330226534564]"
1768095276.100207,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095276.107417,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095276.1144302,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095276.1211877,"[0.10817255396094244, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095276.1280735,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095276.1351457,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
